char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
http://www.wikidata.org/entity/Q18754954,Silk,Cindy Moon,"mutate, comics character",Marvel Universe,,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3127430,Snowbird,Narya,"comics character, fictional deity",Marvel Universe,,"retrocognition, flight, shapeshifting, superhuman strength",,,,
http://www.wikidata.org/entity/Q546340,Thunderbird,John Proudstar,"television character, animated character, mutant",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q1194236,Cannonball,Samuel Zachery Guthrie,"film character, animated character, mutant",Marvel Universe,,thermo-chemical energy,,,,
http://www.wikidata.org/entity/Q2087326,Shriek,Frances Louise Barrison,"film character, comics character",Marvel Universe,,sonic scream,,,,
http://www.wikidata.org/entity/Q1429836,Galactus,Galan,"humanoid extraterrestrial in a work of fiction, cosmic entity, comics character",Marvel Universe,,"superhuman durability, superhuman speed, reality warping, teleportation in fiction, immortality, superhuman strength, levitation, force field, healing factor, psychokinesis, time travel, telepathy",,,,
http://www.wikidata.org/entity/Q1779361,Harry Osborn,Harold Theopolis Osborn,"film character, animated character, mutate, comics character",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q1771294,Chris Bradley,Christopher Bradley,mutant,Marvel Universe,,"technopathy, electrokinesis",,,,
http://www.wikidata.org/entity/Q48412444,Ultimate Magneto,Erik Lensherr,mutant,Marvel Universe,,magnetism manipulation,,,,
http://www.wikidata.org/entity/Q840291,Magneto,Max Eisenhardt,"film character, animated character, mutant","Marvel Universe, Marvel Cinematic Universe",Germany,magnetism manipulation,Judaism,male,"teacher, superhero, head teacher, ruler, supervillain, spy, nurse assistant","X-Men, Brotherhood of Mutants, New Mutants, Hellfire Club, Excalibur, Acolytes, Savage Land Mutates"
http://www.wikidata.org/entity/Q49262738,Ultimate Angel,Warren Worthington III,mutant,Marvel Universe,,flight,,,,
http://www.wikidata.org/entity/Q2568977,Vulcan,Gabriel Summers,"fictional king, mutate",Marvel Universe,,"flight, power mimicry or absorption, magnetism manipulation, electrokinesis, force field, healing factor",,,,
http://www.wikidata.org/entity/Q547306,Kitty Pryde,Katherine Anne Pryde,"film character, animated character, mutant",Marvel Universe,Deerfield,intangibility,Judaism,female,"teacher, superhero, bartender, aircraft pilot, government agent, circus performer","X-Men, S.H.I.E.L.D., New Mutants, Guardians of the Galaxy, Excalibur"
http://www.wikidata.org/entity/Q996154,Wolfsbane,Rahne Sinclair,"werewolf in a work of fiction, film character, animated character, mutant",Marvel Universe,,"superhuman senses, superhuman speed, superhuman strength, lycanthropy, healing factor",,,,
http://www.wikidata.org/entity/Q737236,Mystique,Raven Darkhölme,"film character, animated character, comics character, mutant",Marvel Universe,,shapeshifting,,,,
http://www.wikidata.org/entity/Q48958279,Ultimate Kitty Pryde,Katherine Pryde,mutant,Marvel Universe,,intangibility,,,,
